,Education,Marital_Status,Has_child,Children,Cluster,Age_group,Income_group,Seniority_group,Wines_segment,Fruits_segment,Meat_segment,Fish_segment,Sweets_segment,Gold_segment
353,Postgraduate,In couple,No child,No child,Stars,Adult,High income,Old customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Non consumer,Frequent consumer
354,Postgraduate,Alone,Has child,1 child,Stars,Adult,Medium to high income,Old customers,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer
355,Postgraduate,Alone,Has child,2 children,Need attention,Adult,Low to medium income,Discovering customers,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer,Low consumer
356,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low to medium income,Emerging customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
357,Postgraduate,In couple,No child,No child,Stars,Adult,Medium to high income,Old customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
358,Postgraduate,In couple,No child,No child,High potential,Senior,Medium to high income,Discovering customers,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Non consumer,Low consumer
359,Postgraduate,In couple,Has child,2 children,Need attention,Senior,Low to medium income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
360,Postgraduate,In couple,No child,No child,Stars,Mature,High income,Old customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
361,Postgraduate,Alone,Has child,1 child,High potential,Adult,Medium to high income,New customers,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer
362,Postgraduate,In couple,Has child,2 children,Need attention,Adult,Low income,New customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer
363,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low to medium income,Old customers,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer
364,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Medium to high income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Biggest consumer
365,Postgraduate,Alone,Has child,1 child,Stars,Adult,Medium to high income,Old customers,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
366,Postgraduate,In couple,No child,No child,Stars,Mature,High income,Emerging customers,Frequent consumer,Non consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer
367,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low income,Emerging customers,Low consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer
368,Postgraduate,In couple,No child,No child,Stars,Mature,High income,Old customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
369,Postgraduate,Alone,Has child,1 child,Stars,Adult,Medium to high income,Old customers,Biggest consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
370,Undergraduate,In couple,Has child,1 child,Need attention,Young,Low to medium income,New customers,Low consumer,Low consumer,Low consumer,Non consumer,Frequent consumer,Low consumer
371,Postgraduate,In couple,Has child,2 children,Leaky bucket,Adult,Low to medium income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
372,Postgraduate,Alone,Has child,1 child,Need attention,Adult,Low income,Discovering customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
373,Postgraduate,Alone,Has child,1 child,Stars,Mature,Medium to high income,Old customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
374,Postgraduate,Alone,Has child,2 children,Leaky bucket,Adult,Low to medium income,Emerging customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
375,Postgraduate,Alone,Has child,2 children,Leaky bucket,Adult,Low to medium income,Old customers,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer
376,Postgraduate,Alone,No child,No child,Leaky bucket,Adult,Low income,Emerging customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer
377,Postgraduate,Alone,Has child,1 child,Leaky bucket,Young,Low income,Old customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
378,Postgraduate,In couple,Has child,1 child,High potential,Mature,Medium to high income,Discovering customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
379,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low income,Emerging customers,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer
380,Postgraduate,In couple,Has child,2 children,Leaky bucket,Adult,Low income,Old customers,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
381,Postgraduate,In couple,Has child,1 child,Need attention,Young,Low income,Discovering customers,Low consumer,Frequent consumer,Low consumer,Non consumer,Low consumer,Low consumer
382,Postgraduate,Alone,No child,No child,Leaky bucket,Mature,Low income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
383,Undergraduate,In couple,Has child,3 children,Leaky bucket,Adult,Low to medium income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer
384,Postgraduate,Alone,Has child,1 child,Need attention,Adult,Low to medium income,New customers,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
385,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low income,Emerging customers,Low consumer,Frequent consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
386,Postgraduate,In couple,Has child,1 child,Need attention,Mature,Low to medium income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer,Biggest consumer
387,Postgraduate,In couple,Has child,1 child,Stars,Mature,Medium to high income,Old customers,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer
388,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low to medium income,Old customers,Frequent consumer,Non consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer
389,Postgraduate,Alone,Has child,2 children,Stars,Mature,High income,Emerging customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
390,Postgraduate,In couple,No child,No child,High potential,Adult,High income,New customers,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer
391,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Medium to high income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Non consumer,Frequent consumer,Low consumer
392,Postgraduate,Alone,No child,No child,High potential,Young,High income,New customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
393,Postgraduate,In couple,No child,No child,Leaky bucket,Senior,Low to medium income,Emerging customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
394,Postgraduate,In couple,Has child,1 child,High potential,Mature,High income,New customers,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Biggest consumer
395,Postgraduate,In couple,No child,No child,High potential,Young,High income,Discovering customers,Biggest consumer,Non consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer
396,Postgraduate,In couple,Has child,2 children,Leaky bucket,Adult,Low to medium income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer
397,Postgraduate,In couple,Has child,1 child,Leaky bucket,Young,Low income,Old customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
398,Postgraduate,Alone,Has child,1 child,Leaky bucket,Young,Low income,Old customers,Low consumer,Non consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer
399,Undergraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,Old customers,Low consumer,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer
400,Undergraduate,Alone,Has child,2 children,Leaky bucket,Mature,Low income,Emerging customers,Low consumer,Low consumer,Frequent consumer,Non consumer,Frequent consumer,Low consumer
401,Postgraduate,In couple,No child,No child,Stars,Mature,High income,Old customers,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
402,Postgraduate,Alone,Has child,2 children,Need attention,Adult,Low to medium income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
403,Postgraduate,In couple,No child,No child,Leaky bucket,Mature,Low income,Emerging customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
404,Postgraduate,Alone,Has child,3 children,Need attention,Mature,Medium to high income,Discovering customers,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Low consumer
405,Postgraduate,In couple,Has child,2 children,Need attention,Mature,Low to medium income,New customers,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer
406,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low income,Old customers,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
407,Postgraduate,Alone,Has child,2 children,High potential,Adult,Medium to high income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
408,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,Emerging customers,Low consumer,Non consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
409,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low to medium income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer
410,Undergraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low income,Old customers,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer
411,Postgraduate,In couple,Has child,1 child,Stars,Adult,Medium to high income,Old customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
412,Postgraduate,In couple,Has child,1 child,Stars,Mature,Medium to high income,Emerging customers,Biggest consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
413,Postgraduate,Alone,Has child,1 child,Leaky bucket,Young,Low to medium income,Old customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Low consumer
414,Postgraduate,In couple,Has child,1 child,Stars,Mature,High income,Emerging customers,Biggest consumer,Frequent consumer,Biggest consumer,Non consumer,Frequent consumer,Biggest consumer
415,Postgraduate,In couple,No child,No child,High potential,Senior,High income,New customers,Frequent consumer,Non consumer,Biggest consumer,Biggest consumer,Non consumer,Frequent consumer
416,Undergraduate,In couple,Has child,1 child,Need attention,Adult,Low income,Discovering customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
417,Postgraduate,In couple,No child,No child,High potential,Young,High income,New customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
418,Postgraduate,Alone,No child,No child,Stars,Adult,High income,Emerging customers,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
419,Postgraduate,In couple,Has child,2 children,Stars,Adult,Low to medium income,Emerging customers,Biggest consumer,Non consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer
420,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Low to medium income,New customers,Low consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
421,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Low income,New customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer
422,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Low income,New customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
423,Postgraduate,In couple,No child,No child,Stars,Adult,High income,Emerging customers,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer
424,Postgraduate,In couple,No child,No child,Stars,Senior,High income,Emerging customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Non consumer,Frequent consumer
425,Postgraduate,In couple,Has child,3 children,Need attention,Mature,Low to medium income,Discovering customers,Low consumer,Non consumer,Low consumer,Low consumer,Non consumer,Low consumer
426,Postgraduate,In couple,No child,No child,High potential,Young,High income,New customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
427,Postgraduate,In couple,Has child,1 child,High potential,Young,High income,New customers,Biggest consumer,Non consumer,Biggest consumer,Non consumer,Frequent consumer,Frequent consumer
428,Undergraduate,In couple,Has child,1 child,Need attention,Young,Low income,New customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
429,Postgraduate,In couple,Has child,1 child,Stars,Mature,Medium to high income,Emerging customers,Frequent consumer,Non consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
430,Postgraduate,Alone,No child,No child,Stars,Mature,High income,Emerging customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
431,Postgraduate,In couple,Has child,1 child,Leaky bucket,Young,Low to medium income,Old customers,Frequent consumer,Non consumer,Biggest consumer,Frequent consumer,Low consumer,Biggest consumer
432,Undergraduate,In couple,Has child,2 children,Stars,Mature,Medium to high income,Emerging customers,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
433,Postgraduate,In couple,Has child,1 child,High potential,Mature,High income,Discovering customers,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
434,Postgraduate,Alone,Has child,1 child,Need attention,Adult,Low income,New customers,Frequent consumer,Non consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
435,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low to medium income,Emerging customers,Frequent consumer,Non consumer,Low consumer,Low consumer,Non consumer,Low consumer
436,Postgraduate,Alone,Has child,1 child,High potential,Mature,Medium to high income,Discovering customers,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
437,Postgraduate,Alone,Has child,1 child,Need attention,Mature,Medium to high income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Non consumer,Frequent consumer
438,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Low income,Discovering customers,Frequent consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer
439,Undergraduate,In couple,Has child,1 child,Leaky bucket,Young,Low income,Emerging customers,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer,Low consumer
440,Postgraduate,In couple,Has child,1 child,Leaky bucket,Young,Low income,Emerging customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Non consumer,Low consumer
441,Postgraduate,In couple,Has child,1 child,Need attention,Senior,Medium to high income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Low consumer
442,Postgraduate,In couple,No child,No child,Need attention,Senior,Low income,Discovering customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
443,Postgraduate,Alone,Has child,1 child,Leaky bucket,Young,Low income,Old customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
444,Undergraduate,In couple,No child,No child,Need attention,Adult,Low income,New customers,Non consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
445,Postgraduate,Alone,No child,No child,Leaky bucket,Mature,Low income,Discovering customers,Non consumer,Non consumer,Low consumer,Low consumer,Frequent consumer,Low consumer
446,Postgraduate,Alone,Has child,1 child,Need attention,Adult,Low to medium income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
447,Postgraduate,Alone,No child,No child,High potential,Mature,High income,Discovering customers,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer
448,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,Emerging customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Non consumer,Low consumer
449,Postgraduate,In couple,Has child,1 child,Need attention,Mature,Medium to high income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
450,Postgraduate,Alone,Has child,1 child,Stars,Mature,Medium to high income,Emerging customers,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
451,Postgraduate,In couple,Has child,1 child,Stars,Adult,Medium to high income,Emerging customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
452,Postgraduate,Alone,Has child,1 child,Need attention,Adult,Low to medium income,Discovering customers,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer
453,Undergraduate,In couple,Has child,2 children,High potential,Adult,High income,Discovering customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
454,Postgraduate,In couple,Has child,1 child,Stars,Adult,Medium to high income,Old customers,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Low consumer
455,Postgraduate,In couple,Has child,3 children,Leaky bucket,Adult,Low to medium income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer
456,Undergraduate,Alone,No child,No child,Stars,Mature,High income,Old customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
457,Postgraduate,In couple,Has child,1 child,Leaky bucket,Young,Low to medium income,Emerging customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
458,Postgraduate,In couple,Has child,1 child,Need attention,Mature,Low to medium income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
459,Undergraduate,In couple,No child,No child,Stars,Adult,Medium to high income,Old customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
460,Postgraduate,In couple,Has child,1 child,High potential,Mature,Medium to high income,New customers,Biggest consumer,Non consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
461,Postgraduate,Alone,No child,No child,High potential,Mature,High income,Discovering customers,Frequent consumer,Non consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
462,Postgraduate,Alone,Has child,1 child,Need attention,Mature,Low to medium income,New customers,Frequent consumer,Non consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
463,Postgraduate,In couple,No child,No child,High potential,Mature,High income,New customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
464,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Low income,New customers,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
465,Postgraduate,Alone,No child,No child,High potential,Adult,Medium to high income,New customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer
466,Postgraduate,In couple,No child,No child,Stars,Mature,High income,Emerging customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
467,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low income,Old customers,Low consumer,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer
468,Postgraduate,In couple,Has child,2 children,Need attention,Mature,Medium to high income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
469,Postgraduate,In couple,Has child,1 child,Stars,Adult,Low to medium income,Old customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
470,Postgraduate,In couple,Has child,1 child,Stars,Adult,Medium to high income,Emerging customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
471,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Low to medium income,Discovering customers,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer
472,Postgraduate,In couple,Has child,1 child,Stars,Adult,Medium to high income,Old customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
473,Postgraduate,In couple,Has child,2 children,Leaky bucket,Adult,Low to medium income,Old customers,Low consumer,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer
474,Postgraduate,Alone,Has child,1 child,Need attention,Young,Low income,New customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
475,Postgraduate,In couple,Has child,1 child,Stars,Mature,Medium to high income,Emerging customers,Frequent consumer,Non consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
476,Postgraduate,Alone,Has child,2 children,Need attention,Adult,Low to medium income,New customers,Low consumer,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer
477,Postgraduate,In couple,Has child,1 child,High potential,Adult,Medium to high income,New customers,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Low consumer,Frequent consumer
478,Postgraduate,In couple,Has child,1 child,Stars,Adult,Medium to high income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Non consumer,Biggest consumer
479,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low to medium income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Biggest consumer
480,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Low to medium income,Discovering customers,Low consumer,Frequent consumer,Frequent consumer,Non consumer,Low consumer,Frequent consumer
481,Postgraduate,Alone,Has child,1 child,Need attention,Adult,Low to medium income,Discovering customers,Frequent consumer,Low consumer,Low consumer,Low consumer,Frequent consumer,Non consumer
482,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
483,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Low to medium income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Non consumer,Low consumer,Low consumer
484,Postgraduate,In couple,No child,No child,Stars,Mature,High income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer
485,Postgraduate,Alone,No child,No child,Stars,Mature,High income,Old customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
486,Postgraduate,In couple,Has child,1 child,High potential,Adult,Medium to high income,Discovering customers,Biggest consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
487,Postgraduate,In couple,Has child,1 child,Stars,Adult,Medium to high income,Emerging customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
488,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Low income,New customers,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer
489,Undergraduate,Alone,No child,No child,Leaky bucket,Mature,Low income,Old customers,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
490,Postgraduate,In couple,Has child,1 child,Stars,Mature,High income,Old customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
491,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low to medium income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
492,Postgraduate,In couple,No child,No child,Stars,Mature,High income,Emerging customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
493,Postgraduate,Alone,Has child,1 child,Stars,Mature,Medium to high income,Old customers,Biggest consumer,Non consumer,Frequent consumer,Frequent consumer,Non consumer,Biggest consumer
494,Postgraduate,Alone,No child,No child,High potential,Senior,Medium to high income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer
495,Postgraduate,Alone,Has child,1 child,Stars,Mature,Medium to high income,Emerging customers,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
496,Postgraduate,Alone,Has child,1 child,Need attention,Adult,Medium to high income,New customers,Frequent consumer,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer
497,Postgraduate,In couple,Has child,1 child,Stars,Adult,High income,Emerging customers,Biggest consumer,Non consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
498,Postgraduate,In couple,Has child,1 child,High potential,Mature,Medium to high income,New customers,Biggest consumer,Non consumer,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer
499,Postgraduate,In couple,No child,No child,Stars,Senior,Medium to high income,Emerging customers,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
500,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low income,Old customers,Low consumer,Low consumer,Frequent consumer,Low consumer,Non consumer,Frequent consumer
501,Postgraduate,In couple,Has child,1 child,Need attention,Mature,Low to medium income,Discovering customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Non consumer
502,Undergraduate,In couple,No child,No child,Leaky bucket,Young,Low income,Old customers,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer
503,Postgraduate,In couple,Has child,1 child,Stars,Young,Medium to high income,Old customers,Biggest consumer,Non consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer
504,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low to medium income,Emerging customers,Frequent consumer,Non consumer,Low consumer,Low consumer,Non consumer,Low consumer
505,Postgraduate,Alone,No child,No child,Stars,Mature,Medium to high income,Old customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
506,Postgraduate,In couple,Has child,1 child,High potential,Adult,Medium to high income,Discovering customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer
507,Postgraduate,Alone,No child,No child,High potential,Young,High income,Discovering customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
508,Postgraduate,In couple,No child,No child,Leaky bucket,Young,Low income,Emerging customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
509,Postgraduate,Alone,Has child,1 child,Stars,Mature,Medium to high income,Old customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
510,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low to medium income,Emerging customers,Frequent consumer,Low consumer,Frequent consumer,Non consumer,Low consumer,Frequent consumer
511,Postgraduate,Alone,Has child,1 child,Stars,Adult,Medium to high income,Emerging customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
512,Postgraduate,In couple,Has child,2 children,Need attention,Mature,Low to medium income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
513,Postgraduate,In couple,No child,No child,High potential,Mature,High income,New customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
514,Postgraduate,In couple,Has child,1 child,Leaky bucket,Senior,Low to medium income,Emerging customers,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
515,Postgraduate,Alone,No child,No child,Stars,Adult,High income,Emerging customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
516,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low to medium income,Emerging customers,Frequent consumer,Non consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
