,Age,Education,Marital_Status,Income,Spending,Seniority,Has_child,Children,Wines,Fruits,Meat,Fish,Sweets,Gold,Cluster
599,33,Postgraduate,In couple,31089.0,79,25.933333333333334,Has child,1 child,31,3,31,2,8,4,Leaky bucket
600,53,Postgraduate,Alone,30081.0,42,19.666666666666668,Has child,1 child,36,0,2,0,0,4,Leaky bucket
601,54,Postgraduate,In couple,62807.0,819,25.466666666666665,Has child,1 child,526,28,135,10,21,99,Stars
602,59,Postgraduate,Alone,72906.0,1151,12.733333333333333,No child,No child,400,32,519,71,75,54,High potential
603,66,Postgraduate,In couple,61467.0,594,22.133333333333333,Has child,2 children,410,16,114,0,5,49,Stars
604,48,Postgraduate,In couple,49618.0,129,20.533333333333335,Has child,2 children,80,3,26,4,2,14,Leaky bucket
605,28,Postgraduate,Alone,21888.0,213,21.466666666666665,Has child,1 child,88,10,46,2,3,64,Leaky bucket
606,41,Postgraduate,Alone,42429.0,67,7.833333333333333,Has child,1 child,55,0,6,2,0,4,Need attention
607,58,Postgraduate,Alone,26150.0,28,19.066666666666666,Has child,3 children,5,1,13,3,5,1,Leaky bucket
608,39,Undergraduate,In couple,30801.0,45,23.6,Has child,1 child,8,4,5,15,2,11,Leaky bucket
609,49,Postgraduate,In couple,81168.0,1193,5.0,No child,No child,410,0,592,147,22,22,High potential
610,45,Postgraduate,Alone,26877.0,268,13.7,No child,No child,101,13,76,20,18,40,Need attention
611,70,Postgraduate,Alone,45006.0,266,14.766666666666667,No child,No child,162,25,53,16,0,10,Need attention
612,41,Undergraduate,In couple,18978.0,37,22.066666666666666,Has child,1 child,2,8,1,4,7,15,Leaky bucket
613,47,Postgraduate,In couple,22574.0,37,11.366666666666667,Has child,3 children,25,0,8,2,0,2,Need attention
614,45,Postgraduate,Alone,48240.0,882,23.133333333333333,No child,No child,389,91,248,64,49,41,Stars
615,40,Postgraduate,In couple,45837.0,373,14.5,Has child,2 children,215,13,87,17,17,24,Need attention
616,49,Postgraduate,Alone,35791.0,35,17.2,Has child,3 children,27,0,5,0,0,3,Leaky bucket
617,38,Postgraduate,In couple,162397.0,107,16.266666666666666,Has child,2 children,85,1,16,2,1,2,High potential
618,36,Postgraduate,Alone,54162.0,42,18.833333333333332,Has child,2 children,5,6,10,6,5,10,Leaky bucket
619,54,Postgraduate,In couple,30522.0,326,25.933333333333334,Has child,1 child,179,8,83,19,11,26,Leaky bucket
620,53,Postgraduate,In couple,54456.0,404,15.0,Has child,1 child,352,0,27,10,0,15,Need attention
621,43,Postgraduate,Alone,31632.0,95,14.9,No child,No child,17,8,12,11,15,32,Leaky bucket
622,65,Postgraduate,Alone,72298.0,939,6.933333333333334,No child,No child,625,35,169,58,17,35,High potential
623,36,Undergraduate,Alone,36975.0,33,9.333333333333334,Has child,1 child,10,6,11,0,4,2,Need attention
624,59,Undergraduate,In couple,72635.0,981,16.266666666666666,No child,No child,390,22,323,104,35,107,Stars
625,38,Postgraduate,In couple,13624.0,36,20.733333333333334,Has child,1 child,10,2,15,2,1,6,Leaky bucket
626,39,Postgraduate,Alone,84196.0,1237,16.266666666666666,Has child,1 child,215,63,507,231,31,190,Stars
627,54,Postgraduate,In couple,70971.0,1825,24.766666666666666,Has child,1 child,1001,17,572,93,125,17,Stars
628,37,Postgraduate,Alone,34487.0,103,25.266666666666666,Has child,2 children,19,18,33,24,1,8,Leaky bucket
629,37,Postgraduate,Alone,28769.0,191,21.833333333333332,Has child,1 child,41,5,129,10,3,3,Leaky bucket
630,44,Postgraduate,In couple,69084.0,1586,10.633333333333333,Has child,1 child,1181,107,199,39,30,30,High potential
631,56,Postgraduate,In couple,65488.0,963,3.7666666666666666,No child,No child,603,45,207,36,18,54,High potential
632,44,Undergraduate,In couple,62466.0,889,8.733333333333333,Has child,1 child,129,129,259,168,121,83,High potential
633,54,Undergraduate,Alone,32218.0,93,7.7,No child,No child,10,24,15,13,1,30,Need attention
634,41,Postgraduate,Alone,83917.0,1587,17.8,No child,No child,514,22,732,42,198,79,Stars
635,52,Postgraduate,Alone,46102.0,16,6.933333333333334,Has child,3 children,14,0,1,0,0,1,Need attention
636,62,Postgraduate,Alone,84574.0,1375,16.233333333333334,No child,No child,387,20,713,38,54,163,Stars
637,52,Postgraduate,In couple,56181.0,393,21.133333333333333,Has child,1 child,121,103,69,8,44,48,Leaky bucket
638,64,Postgraduate,Alone,63120.0,1477,24.533333333333335,Has child,1 child,965,69,279,54,41,69,Stars
639,43,Postgraduate,In couple,73691.0,1179,11.066666666666666,Has child,1 child,707,21,250,85,43,73,High potential
640,54,Postgraduate,In couple,63381.0,1005,24.3,Has child,1 child,571,50,142,33,50,159,Stars
641,66,Postgraduate,In couple,76140.0,1348,4.8,No child,No child,586,66,653,17,0,26,High potential
642,55,Postgraduate,Alone,62859.0,1307,21.433333333333334,Has child,1 child,1063,89,102,16,12,25,Stars
643,50,Postgraduate,Alone,45906.0,486,17.166666666666668,Has child,1 child,305,3,27,4,3,144,Leaky bucket
644,67,Postgraduate,In couple,77632.0,2252,19.1,No child,No child,1200,105,758,0,42,147,Stars
645,43,Postgraduate,In couple,46463.0,235,13.733333333333333,Has child,2 children,163,2,40,8,11,11,Need attention
646,44,Postgraduate,In couple,105471.0,1724,20.7,No child,No child,1009,181,104,202,21,207,Stars
647,44,Postgraduate,Alone,55282.0,235,9.833333333333334,Has child,1 child,125,6,73,8,4,19,Need attention
648,37,Postgraduate,In couple,78710.0,1092,4.466666666666667,Has child,1 child,721,0,152,119,50,50,High potential
649,56,Postgraduate,In couple,66886.0,599,12.766666666666667,Has child,1 child,315,4,62,41,31,146,High potential
650,54,Postgraduate,Alone,98777.0,2008,7.633333333333334,No child,No child,1000,19,711,125,115,38,High potential
651,29,Postgraduate,In couple,29103.0,48,25.6,Has child,1 child,16,0,17,6,3,6,Leaky bucket
652,40,Postgraduate,In couple,67445.0,1174,26.1,Has child,1 child,757,80,217,29,80,11,Stars
653,64,Postgraduate,In couple,50616.0,67,5.8,Has child,1 child,30,2,25,0,1,9,Need attention
654,59,Postgraduate,Alone,49431.0,365,26.4,Has child,1 child,219,3,100,26,0,17,Leaky bucket
655,39,Postgraduate,Alone,153924.0,6,7.966666666666667,No child,No child,1,1,1,1,1,1,High potential
656,61,Postgraduate,In couple,61278.0,165,9.1,Has child,1 child,111,3,28,2,6,15,Need attention
657,56,Undergraduate,In couple,26490.0,210,24.733333333333334,No child,No child,45,47,52,21,20,25,Leaky bucket
658,67,Postgraduate,In couple,73059.0,1095,13.3,Has child,1 child,410,112,420,0,82,71,High potential
659,48,Postgraduate,Alone,46734.0,223,11.6,Has child,3 children,100,1,39,6,1,76,Need attention
660,51,Postgraduate,In couple,56253.0,597,22.2,Has child,1 child,509,0,65,7,11,5,Stars
661,29,Postgraduate,In couple,19986.0,22,10.8,Has child,1 child,3,6,5,0,2,6,Need attention
662,39,Postgraduate,Alone,58330.0,1064,9.433333333333334,Has child,1 child,445,53,213,104,98,151,High potential
663,34,Undergraduate,In couple,25965.0,74,25.233333333333334,No child,No child,2,2,11,41,7,11,Leaky bucket
664,58,Postgraduate,In couple,14661.0,26,21.366666666666667,No child,No child,4,1,11,6,2,2,Leaky bucket
665,55,Postgraduate,In couple,18690.0,60,21.5,No child,No child,6,1,7,23,4,19,Leaky bucket
666,40,Postgraduate,In couple,45068.0,20,16.866666666666667,Has child,1 child,14,0,3,0,0,3,Leaky bucket
667,27,Undergraduate,Alone,21063.0,59,12.466666666666667,Has child,1 child,1,10,11,19,3,15,Need attention
668,46,Postgraduate,In couple,29187.0,34,17.1,Has child,1 child,26,0,6,0,0,2,Leaky bucket
669,43,Undergraduate,In couple,54690.0,198,11.033333333333333,Has child,2 children,111,16,37,7,9,18,Need attention
670,50,Postgraduate,In couple,59304.0,1048,14.4,Has child,1 child,418,61,428,80,51,10,High potential
671,52,Postgraduate,Alone,59247.0,574,11.0,Has child,2 children,327,9,122,19,14,83,High potential
672,44,Postgraduate,Alone,66731.0,1029,25.066666666666666,Has child,1 child,371,159,194,58,106,141,Stars
673,34,Postgraduate,In couple,77353.0,670,9.733333333333333,Has child,1 child,275,59,107,69,101,59,High potential
674,39,Postgraduate,Alone,52614.0,990,22.4,Has child,1 child,789,0,142,12,9,38,Stars
675,40,Postgraduate,In couple,26751.0,11,4.5,Has child,2 children,1,1,5,0,3,1,Need attention
676,51,Postgraduate,In couple,81300.0,1241,23.466666666666665,Has child,1 child,1004,12,145,32,12,36,Stars
677,35,Postgraduate,Alone,70337.0,576,9.166666666666666,No child,No child,187,81,149,25,43,91,High potential
678,29,Undergraduate,In couple,36145.0,172,15.833333333333334,Has child,1 child,56,4,76,17,1,18,Leaky bucket
679,34,Postgraduate,Alone,65295.0,664,9.5,No child,No child,365,32,117,34,110,6,High potential
680,51,Postgraduate,Alone,68118.0,928,11.7,Has child,1 child,595,23,123,10,23,154,High potential
681,47,Postgraduate,Alone,68743.0,2074,25.5,No child,No child,1132,134,384,175,134,115,Stars
682,32,Undergraduate,In couple,41039.0,467,14.533333333333333,No child,No child,34,11,137,179,61,45,Need attention
683,59,Postgraduate,In couple,38946.0,257,11.5,Has child,1 child,116,6,82,6,6,41,Need attention
684,47,Postgraduate,In couple,65777.0,1146,9.633333333333333,No child,No child,565,32,435,28,32,54,High potential
685,38,Postgraduate,Alone,66476.0,689,19.2,Has child,1 child,372,18,126,47,48,78,Stars
686,42,Postgraduate,Alone,86857.0,2114,25.066666666666666,No child,No child,899,102,838,133,102,40,Stars
687,32,Postgraduate,In couple,160803.0,1717,26.366666666666667,No child,No child,55,16,1622,17,3,4,Stars
688,25,Postgraduate,In couple,77845.0,1346,4.7,No child,No child,760,40,480,0,40,26,High potential
689,45,Postgraduate,In couple,69476.0,1044,12.3,No child,No child,260,86,559,63,9,67,High potential
690,54,Postgraduate,Alone,50611.0,493,24.333333333333332,Has child,1 child,459,0,24,6,0,4,Leaky bucket
691,44,Postgraduate,Alone,61209.0,957,13.5,No child,No child,466,0,224,119,49,99,High potential
692,56,Postgraduate,In couple,42315.0,270,14.966666666666667,Has child,1 child,67,15,80,17,11,80,Need attention
693,62,Undergraduate,In couple,13084.0,29,11.2,No child,No child,2,0,7,3,7,10,Need attention
694,65,Postgraduate,Alone,47570.0,121,16.433333333333334,Has child,2 children,67,1,20,0,2,31,Leaky bucket
695,53,Postgraduate,In couple,61923.0,126,14.5,Has child,2 children,92,4,18,3,3,6,Need attention
696,19,Postgraduate,Alone,34824.0,23,6.4,No child,No child,4,2,11,2,0,4,Need attention
697,65,Postgraduate,Alone,26518.0,57,18.133333333333333,Has child,2 children,20,1,28,3,3,2,Leaky bucket
698,53,Postgraduate,Alone,45938.0,636,11.166666666666666,No child,No child,273,11,178,62,83,29,Need attention
699,54,Postgraduate,In couple,78468.0,1004,5.933333333333334,No child,No child,434,22,388,104,22,34,High potential
700,41,Postgraduate,Alone,78901.0,734,12.733333333333333,Has child,1 child,321,11,309,33,26,34,High potential
701,36,Postgraduate,In couple,71427.0,614,6.866666666666666,Has child,2 children,212,123,177,15,64,23,High potential
702,36,Postgraduate,Alone,71022.0,1453,7.833333333333333,Has child,1 child,909,12,278,0,12,242,High potential
703,26,Postgraduate,Alone,90247.0,1621,5.266666666666667,No child,No child,1184,32,352,21,16,16,High potential
704,46,Postgraduate,Alone,41335.0,187,9.4,Has child,1 child,112,19,21,16,14,5,Need attention
705,28,Postgraduate,In couple,71952.0,1443,21.066666666666666,Has child,1 child,656,80,455,52,107,93,Stars
706,44,Postgraduate,Alone,35682.0,57,3.3,Has child,1 child,23,0,8,6,2,18,Need attention
707,63,Postgraduate,Alone,43185.0,637,18.066666666666666,Has child,1 child,537,6,42,16,6,30,Leaky bucket
708,66,Postgraduate,In couple,66375.0,948,10.566666666666666,Has child,1 child,712,0,45,0,0,191,High potential
709,43,Postgraduate,In couple,35178.0,59,21.066666666666666,Has child,1 child,23,1,13,2,2,18,Leaky bucket
710,28,Postgraduate,In couple,25252.0,18,14.966666666666667,Has child,1 child,1,3,4,2,2,6,Leaky bucket
711,49,Postgraduate,Alone,55250.0,903,23.766666666666666,Has child,1 child,664,58,83,32,0,66,Stars
712,39,Postgraduate,Alone,33249.0,112,19.7,Has child,1 child,6,10,21,19,14,42,Leaky bucket
713,61,Postgraduate,In couple,58398.0,596,16.933333333333334,No child,No child,299,5,201,21,21,49,Stars
714,32,Postgraduate,In couple,50272.0,233,14.1,Has child,1 child,99,13,66,43,8,4,Need attention
715,39,Postgraduate,In couple,76618.0,1511,22.2,No child,No child,749,40,294,121,160,147,Stars
716,54,Undergraduate,Alone,87305.0,1152,24.7,No child,No child,345,25,501,63,138,80,Stars
717,36,Postgraduate,In couple,25851.0,48,20.0,Has child,1 child,9,4,18,7,5,5,Leaky bucket
718,44,Postgraduate,Alone,58710.0,1185,18.4,Has child,1 child,440,81,368,0,122,174,Stars
719,56,Postgraduate,Alone,45160.0,21,6.3,Has child,2 children,8,2,5,3,0,3,Need attention
720,49,Postgraduate,In couple,74806.0,965,21.8,Has child,1 child,670,9,249,0,28,9,Stars
721,60,Postgraduate,In couple,59111.0,869,17.333333333333332,No child,No child,524,0,134,28,28,155,Stars
722,30,Postgraduate,In couple,18988.0,16,4.466666666666667,Has child,1 child,6,0,6,2,1,1,Need attention
723,49,Postgraduate,In couple,72190.0,1947,19.933333333333334,No child,No child,597,166,597,172,166,249,Stars
724,38,Postgraduate,In couple,7500.0,71,26.466666666666665,Has child,1 child,7,0,12,13,7,32,Leaky bucket
725,48,Postgraduate,In couple,44794.0,65,3.933333333333333,Has child,1 child,54,0,7,0,0,4,Need attention
726,59,Postgraduate,In couple,80395.0,1380,10.5,No child,No child,445,25,706,80,76,48,High potential
727,38,Postgraduate,Alone,75012.0,1027,8.4,No child,No child,294,142,218,164,58,151,High potential
728,49,Postgraduate,In couple,56962.0,411,11.933333333333334,Has child,3 children,292,3,77,10,3,26,Need attention
729,23,Postgraduate,In couple,89891.0,836,17.9,No child,No child,412,22,132,59,28,183,Stars
730,65,Postgraduate,Alone,35946.0,11,12.4,Has child,2 children,8,0,3,0,0,0,Need attention
731,61,Postgraduate,In couple,53593.0,480,26.266666666666666,Has child,2 children,349,4,78,6,0,43,Leaky bucket
732,36,Postgraduate,In couple,66373.0,606,15.966666666666667,Has child,2 children,328,9,124,12,24,109,Stars
733,66,Postgraduate,Alone,45072.0,284,11.766666666666667,Has child,3 children,144,2,99,7,2,30,Need attention
734,41,Postgraduate,Alone,89694.0,1472,12.0,Has child,2 children,1126,28,211,37,28,42,High potential
735,65,Postgraduate,In couple,72025.0,1677,5.266666666666667,No child,No child,967,0,617,43,50,0,High potential
736,41,Postgraduate,In couple,67432.0,1335,18.466666666666665,Has child,1 child,432,79,341,177,136,170,Stars
737,62,Postgraduate,In couple,70545.0,334,4.1,Has child,1 child,138,39,63,55,18,21,High potential
738,25,Undergraduate,In couple,17487.0,18,18.833333333333332,Has child,1 child,0,0,1,7,4,6,Leaky bucket
739,45,Postgraduate,In couple,62882.0,1338,26.2,Has child,1 child,509,133,497,78,24,97,Stars
740,61,Postgraduate,Alone,64108.0,1099,18.666666666666668,Has child,1 child,948,10,86,13,21,21,Stars
741,58,Postgraduate,In couple,34941.0,97,19.233333333333334,Has child,2 children,39,2,25,4,3,24,Leaky bucket
742,64,Postgraduate,Alone,48767.0,63,9.2,Has child,3 children,28,1,21,3,0,10,Need attention
743,36,Undergraduate,In couple,38702.0,109,14.3,Has child,1 child,13,11,24,13,8,40,Need attention
744,50,Postgraduate,In couple,82224.0,902,8.4,No child,No child,307,26,360,138,31,40,High potential
745,62,Postgraduate,In couple,83844.0,1574,17.0,No child,No child,901,31,345,75,31,191,Stars
746,39,Undergraduate,In couple,17003.0,38,9.966666666666667,Has child,1 child,2,5,12,4,8,7,Need attention
747,19,Postgraduate,Alone,71163.0,960,6.966666666666667,No child,No child,283,17,372,138,106,44,High potential
748,44,Postgraduate,Alone,33697.0,28,12.8,Has child,1 child,4,3,7,0,3,11,Need attention
749,60,Undergraduate,In couple,63564.0,1215,8.266666666666667,No child,No child,769,80,252,15,34,65,High potential
750,42,Postgraduate,In couple,83443.0,1497,9.233333333333333,No child,No child,518,42,742,55,56,84,High potential
751,56,Postgraduate,In couple,51518.0,449,12.2,Has child,1 child,350,8,66,17,4,4,Need attention
752,39,Postgraduate,Alone,58330.0,1064,9.433333333333334,Has child,1 child,445,53,213,104,98,151,High potential
753,45,Postgraduate,In couple,80952.0,1757,19.433333333333334,No child,No child,778,178,689,41,27,44,Stars
754,35,Postgraduate,In couple,75507.0,1440,5.166666666666667,No child,No child,709,93,374,104,80,80,High potential
755,36,Undergraduate,In couple,63855.0,1006,20.066666666666666,No child,No child,359,35,314,93,116,89,Stars
756,42,Postgraduate,In couple,62220.0,1226,26.133333333333333,Has child,1 child,799,12,375,16,12,12,Stars
757,50,Postgraduate,In couple,58512.0,1171,12.666666666666666,Has child,1 child,895,10,101,13,0,152,High potential
758,35,Postgraduate,In couple,40662.0,92,18.933333333333334,Has child,1 child,40,2,23,0,4,23,Leaky bucket
759,55,Postgraduate,In couple,38829.0,99,6.033333333333333,Has child,1 child,76,0,7,0,0,16,Need attention
760,33,Undergraduate,In couple,35523.0,66,12.2,Has child,1 child,11,5,22,12,5,11,Need attention
761,47,Postgraduate,Alone,79146.0,564,5.433333333333334,Has child,2 children,245,16,223,21,43,16,High potential
762,26,Postgraduate,In couple,78285.0,1427,11.366666666666667,No child,No child,647,107,391,175,67,40,High potential
763,36,Postgraduate,Alone,31626.0,86,17.066666666666666,Has child,1 child,39,1,9,2,1,34,Leaky bucket
764,62,Postgraduate,Alone,75127.0,833,4.5,No child,No child,203,35,305,46,17,227,High potential
765,59,Postgraduate,In couple,48726.0,242,17.5,Has child,1 child,138,3,38,4,0,59,Leaky bucket
766,37,Postgraduate,In couple,74985.0,1869,25.1,No child,No child,587,51,898,247,0,86,Stars
767,27,Postgraduate,In couple,67430.0,1364,25.3,No child,No child,595,97,291,127,133,121,Stars
768,49,Undergraduate,In couple,46891.0,183,13.266666666666667,Has child,1 child,43,12,23,29,15,61,Need attention
769,58,Postgraduate,In couple,62058.0,450,16.533333333333335,Has child,1 child,301,7,74,10,0,58,Stars
770,35,Postgraduate,In couple,72063.0,758,15.266666666666667,Has child,1 child,180,32,348,76,32,90,High potential
771,63,Postgraduate,In couple,78939.0,1507,9.866666666666667,No child,No child,794,115,243,150,0,205,High potential
772,49,Postgraduate,Alone,42720.0,654,17.6,Has child,2 children,392,5,91,28,26,112,Leaky bucket
773,42,Postgraduate,In couple,33622.0,81,17.966666666666665,Has child,2 children,39,1,22,3,4,12,Leaky bucket
774,57,Postgraduate,In couple,6835.0,137,22.166666666666668,Has child,1 child,107,2,12,2,2,12,Leaky bucket
775,61,Postgraduate,In couple,41452.0,16,19.233333333333334,Has child,2 children,13,0,3,0,0,0,Leaky bucket
776,49,Postgraduate,Alone,40760.0,93,13.333333333333334,Has child,1 child,70,0,17,0,0,6,Need attention
777,56,Postgraduate,In couple,74250.0,1158,8.366666666666667,No child,No child,680,11,392,75,0,0,High potential
778,59,Postgraduate,Alone,51124.0,43,9.666666666666666,Has child,2 children,26,1,11,0,1,4,Need attention
779,43,Postgraduate,Alone,72258.0,1525,12.9,Has child,1 child,522,0,522,227,120,134,High potential
780,40,Postgraduate,Alone,71466.0,1230,6.066666666666666,No child,No child,412,12,546,78,182,0,High potential
781,38,Postgraduate,In couple,36283.0,29,5.766666666666667,Has child,2 children,6,5,5,8,0,5,Need attention
782,44,Postgraduate,Alone,20587.0,25,4.866666666666666,Has child,1 child,2,3,6,4,1,9,Need attention
783,42,Postgraduate,In couple,30467.0,24,6.633333333333334,Has child,1 child,1,3,8,2,5,5,Need attention
784,42,Postgraduate,In couple,31590.0,38,15.766666666666667,Has child,1 child,6,2,15,6,6,3,Leaky bucket
785,28,Undergraduate,In couple,20425.0,57,23.5,Has child,1 child,4,12,5,3,16,17,Leaky bucket
786,54,Postgraduate,In couple,17144.0,47,7.7,Has child,2 children,18,2,19,0,2,6,Need attention
787,46,Postgraduate,Alone,42564.0,813,21.333333333333332,Has child,1 child,324,48,186,39,18,198,Leaky bucket
788,36,Postgraduate,In couple,43783.0,629,4.266666666666667,Has child,1 child,327,9,125,25,4,139,Need attention
789,38,Postgraduate,Alone,40780.0,377,25.2,Has child,1 child,229,27,71,13,3,34,Leaky bucket
790,69,Postgraduate,In couple,62847.0,1612,20.9,No child,No child,521,168,706,80,76,61,Stars
791,57,Postgraduate,In couple,82017.0,729,23.2,No child,No child,184,23,446,30,23,23,Stars
792,64,Postgraduate,Alone,16813.0,50,14.733333333333333,No child,No child,4,8,11,12,2,13,Leaky bucket
793,36,Postgraduate,In couple,51267.0,270,11.333333333333334,Has child,2 children,183,2,64,7,2,12,Need attention
794,53,Postgraduate,Alone,46524.0,177,18.233333333333334,Has child,1 child,31,19,35,26,14,52,Leaky bucket
795,52,Postgraduate,Alone,45183.0,315,20.733333333333334,No child,No child,219,3,60,12,9,12,Leaky bucket
796,60,Postgraduate,In couple,70421.0,767,3.2666666666666666,Has child,1 child,479,28,136,75,14,35,High potential
797,49,Undergraduate,Alone,60161.0,1071,23.7,Has child,1 child,584,44,212,46,8,177,Stars
798,41,Postgraduate,In couple,73926.0,1580,19.366666666666667,No child,No child,627,91,597,159,91,15,Stars
799,46,Postgraduate,In couple,19329.0,60,9.8,Has child,1 child,24,1,16,12,2,5,Need attention
800,44,Postgraduate,In couple,61872.0,573,9.833333333333334,Has child,1 child,330,5,159,36,27,16,High potential
801,58,Postgraduate,Alone,46984.0,41,18.566666666666666,Has child,2 children,19,1,10,2,1,8,Leaky bucket
802,63,Postgraduate,In couple,34838.0,170,20.766666666666666,Has child,2 children,28,23,29,29,14,47,Leaky bucket
803,70,Postgraduate,Alone,82716.0,1167,11.1,No child,No child,606,148,228,15,148,22,High potential
804,56,Postgraduate,In couple,48192.0,1526,18.2,No child,No child,1039,43,204,153,58,29,Stars
805,38,Postgraduate,In couple,49681.0,458,11.133333333333333,Has child,2 children,411,0,26,0,0,21,Need attention
806,43,Postgraduate,In couple,56850.0,63,6.5,Has child,1 child,34,1,19,2,7,0,Need attention
807,57,Postgraduate,In couple,55267.0,405,11.6,Has child,1 child,161,28,136,32,3,45,Need attention
808,42,Postgraduate,In couple,59666.0,1027,18.7,Has child,2 children,623,53,178,23,17,133,Stars
809,42,Postgraduate,Alone,72504.0,1478,18.2,Has child,1 child,604,26,470,123,161,94,Stars
810,33,Postgraduate,In couple,26872.0,72,11.766666666666667,No child,No child,3,10,8,3,16,32,Need attention
811,42,Postgraduate,Alone,21359.0,48,17.733333333333334,Has child,1 child,12,2,17,6,1,10,Leaky bucket
812,39,Postgraduate,Alone,73170.0,726,4.2,No child,No child,184,174,256,50,30,32,High potential
813,59,Postgraduate,In couple,52750.0,860,20.233333333333334,Has child,1 child,393,0,239,90,69,69,Stars
814,28,Postgraduate,In couple,91820.0,1497,10.5,No child,No child,410,73,747,76,161,30,High potential
815,44,Postgraduate,In couple,65968.0,495,4.833333333333333,Has child,1 child,376,9,83,19,4,4,High potential
816,38,Postgraduate,In couple,30772.0,20,6.866666666666666,Has child,2 children,7,2,4,2,1,4,Need attention
817,60,Postgraduate,Alone,22507.0,570,22.633333333333333,No child,No child,68,0,226,51,157,68,Leaky bucket
818,42,Postgraduate,In couple,65685.0,769,6.3,Has child,1 child,642,14,49,0,7,57,High potential
819,36,Undergraduate,In couple,25804.0,55,13.266666666666667,Has child,1 child,8,7,9,13,6,12,Need attention
820,34,Postgraduate,Alone,76412.0,1808,17.233333333333334,No child,No child,840,53,804,23,71,17,Stars
821,42,Postgraduate,In couple,22063.0,55,14.066666666666666,Has child,1 child,7,10,13,3,11,11,Need attention
822,53,Postgraduate,Alone,57091.0,577,3.7,No child,No child,464,5,64,7,0,37,High potential
823,51,Postgraduate,In couple,22419.0,162,17.8,No child,No child,30,3,47,19,21,42,Leaky bucket
824,55,Postgraduate,In couple,87771.0,1957,16.666666666666668,Has child,1 child,1492,38,287,50,57,33,Stars
825,55,Undergraduate,Alone,78353.0,1576,17.866666666666667,Has child,1 child,752,122,476,39,153,34,Stars
826,60,Postgraduate,In couple,93404.0,1616,17.166666666666668,Has child,3 children,1279,15,287,20,0,15,Stars
827,52,Postgraduate,Alone,37859.0,36,21.0,Has child,3 children,22,1,8,2,1,2,Leaky bucket
828,56,Postgraduate,Alone,80995.0,1482,17.033333333333335,Has child,1 child,860,28,409,73,56,56,Stars
829,30,Postgraduate,In couple,16529.0,22,7.233333333333333,Has child,1 child,3,0,5,13,0,1,Need attention
830,38,Postgraduate,Alone,55412.0,63,10.533333333333333,Has child,2 children,10,5,28,11,1,8,Need attention
831,22,Postgraduate,Alone,48789.0,680,25.133333333333333,No child,No child,351,16,156,7,5,145,Leaky bucket
832,47,Postgraduate,In couple,56575.0,542,17.233333333333334,Has child,2 children,421,5,90,0,16,10,Stars
833,34,Undergraduate,In couple,25130.0,50,12.233333333333333,Has child,1 child,2,5,7,0,18,18,Need attention
834,47,Postgraduate,In couple,35441.0,39,19.9,Has child,2 children,25,1,9,2,1,1,Leaky bucket
835,58,Postgraduate,In couple,71391.0,1043,18.466666666666665,Has child,1 child,336,123,274,46,123,141,Stars
836,42,Postgraduate,Alone,49494.0,385,17.566666666666666,Has child,1 child,191,9,97,0,6,82,Leaky bucket
837,34,Postgraduate,Alone,81702.0,1633,24.7,No child,No child,563,50,774,28,31,187,Stars
838,34,Undergraduate,Alone,45889.0,46,15.3,Has child,1 child,31,0,6,0,1,8,Leaky bucket
839,37,Postgraduate,Alone,56628.0,761,6.566666666666666,Has child,1 child,479,5,82,7,17,171,High potential
840,64,Postgraduate,In couple,34026.0,76,14.166666666666666,Has child,2 children,18,6,15,12,8,17,Need attention
841,40,Postgraduate,In couple,40049.0,290,22.466666666666665,Has child,1 child,91,65,52,10,44,28,Leaky bucket
842,26,Postgraduate,Alone,34176.0,89,4.833333333333333,Has child,1 child,5,7,24,19,14,20,Need attention
843,33,Postgraduate,In couple,19419.0,70,23.1,Has child,1 child,2,14,28,16,3,7,Leaky bucket
844,54,Undergraduate,In couple,82504.0,1066,14.466666666666667,No child,No child,362,50,431,134,35,54,High potential
845,44,Postgraduate,In couple,81205.0,2009,8.8,No child,No child,724,74,929,97,55,130,High potential
846,23,Undergraduate,Alone,61618.0,1345,24.5,No child,No child,605,91,399,0,45,205,Stars
847,58,Postgraduate,Alone,55284.0,764,21.633333333333333,Has child,1 child,547,7,140,0,7,63,Stars
848,51,Postgraduate,Alone,49980.0,195,11.533333333333333,Has child,1 child,104,1,54,13,9,14,Need attention
849,34,Postgraduate,In couple,15072.0,53,17.066666666666666,Has child,2 children,8,2,15,0,10,18,Leaky bucket
850,40,Postgraduate,Alone,49166.0,368,15.933333333333334,Has child,1 child,224,2,25,7,0,110,Leaky bucket
851,60,Postgraduate,In couple,65324.0,544,8.866666666666667,Has child,1 child,384,0,102,21,32,5,High potential
852,57,Undergraduate,In couple,82347.0,1853,23.233333333333334,No child,No child,556,54,845,202,133,63,Stars
853,48,Postgraduate,In couple,30843.0,35,4.366666666666666,Has child,2 children,24,0,2,0,0,9,Need attention
854,40,Postgraduate,In couple,46374.0,446,6.7,Has child,1 child,408,0,21,0,0,17,Need attention
855,35,Postgraduate,Alone,60474.0,1180,18.366666666666667,Has child,1 child,265,199,303,234,9,170,Stars
856,41,Postgraduate,In couple,38576.0,41,7.133333333333334,Has child,1 child,34,0,7,0,0,0,Need attention
857,29,Postgraduate,In couple,55357.0,727,19.733333333333334,Has child,2 children,374,64,116,84,25,64,Stars
858,48,Postgraduate,In couple,37758.0,40,24.333333333333332,Has child,2 children,27,2,10,0,0,1,Leaky bucket
